feature,importance
life_expectancy_lag1,0.4575446457516192
electricity_water_interaction,0.40130987011515235
log1p_gdp_per_capita,0.08356203593515586
sanitation,0.03817542379293203
year,0.00898288646926329
life_expectancy_volatility_3y,0.00400480750528094
life_expectancy_trend_3y,0.0027457508457401068
sanitation_diff1,0.0014659247043692471
is_covid,0.0011976637103174245
log1p_gdp_per_capita_diff1,0.0010109911701694444
