config_id,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,max_samples,n_random_thresholds,min_impurity_decrease,train_time_seconds_mean,train_time_seconds_sum,train_MAE_mean,train_MAE_std,train_RMSE_mean,train_RMSE_std,train_R2_mean,train_R2_std,val_MAE_mean,val_MAE_std,val_RMSE_mean,val_RMSE_std,val_R2_mean,val_R2_std,mae_gap_val_train_mean,mae_gap_val_train_std,r2_gap_train_val_mean,r2_gap_train_val_std,selection_score
40,80,12,4,1,0.8,False,1.0,2,0.0,30.029380083084106,30.029380083084106,0.3539117160906764,0.0,0.8469046665748765,0.0,0.990773306894912,0.0,0.5880950683923157,0.0,1.2779291815314981,0.0,0.9770861929139844,0.0,0.23418335230163934,0.0,0.013687113980927701,0.0,0.5934630911373948
44,80,12,4,2,0.8,False,1.0,2,0.0,25.53291082382202,25.53291082382202,0.41011766681206263,0.0,1.0290953134154126,0.0,0.9863765147935445,0.0,0.6161660171492371,0.0,1.338731450189561,0.0,0.9748539016377724,0.0,0.2060483503371745,0.0,0.011522613155772077,0.0,0.6208631148137692
28,80,10,4,1,0.8,False,1.0,2,0.0,18.17743229866028,18.17743229866028,0.49772606563115435,0.0,1.0623172621554942,0.0,0.9854827117223908,0.0,0.6213641963116562,0.0,1.2870990552315171,0.0,0.9767561737331127,0.0,0.12363813068050183,0.0,0.008726537989278027,0.0,0.6242732858247302
38,80,12,4,1,0.6,False,1.0,2,0.0,23.189266204833984,23.189266204833984,0.39406000314159345,0.0,0.8964269054173024,0.0,0.9896627078658171,0.0,0.6212681082334288,0.0,1.2987415007390932,0.0,0.9763337681652536,0.0,0.22720810509183537,0.0,0.01332893970056348,0.0,0.6264787173202937
39,80,12,4,1,0.8,False,1.0,1,0.0,17.982160329818726,17.982160329818726,0.44616713993432905,0.0,0.9862528635190537,0.0,0.9874872266505237,0.0,0.6345861099434169,0.0,1.3034281977644295,0.0,0.9761626539175929,0.0,0.18841897000908786,0.0,0.011324572732930749,0.0,0.6389207179802452
48,80,12,4,4,0.8,False,1.0,2,0.0,27.18985104560852,27.18985104560852,0.5609959707536661,0.0,1.4004883504480519,0.0,0.9747689092905171,0.0,0.6442258093829851,0.0,1.391855322359484,0.0,0.9728185971849485,0.0,0.08322983862931899,0.0,0.001950312105568619,0.0,0.64598792176085
32,80,10,4,2,0.8,False,1.0,2,0.0,15.410469770431519,15.410469770431519,0.5221656122800208,0.0,1.1935112194697886,0.0,0.9816755885167676,0.0,0.6445334002931391,0.0,1.3647226981203469,0.0,0.9738680085588892,0.0,0.12236778801311832,0.0,0.007807579957878397,0.0,0.6473711350512954
42,80,12,4,2,0.6,False,1.0,2,0.0,19.70529532432556,19.70529532432556,0.4548585279493386,0.0,1.0884138202720206,0.0,0.9847606964780862,0.0,0.6439686447370286,0.0,1.351385342854865,0.0,0.9743762855361378,0.0,0.18911011678769002,0.0,0.010384410941948419,0.0,0.6482700676198798
43,80,12,4,2,0.8,False,1.0,1,0.0,18.390186309814453,18.390186309814453,0.5038924655900836,0.0,1.161320066342556,0.0,0.9826507428495859,0.0,0.6514473036555923,0.0,1.3563111986138425,0.0,0.974189146081991,0.0,0.14755483806550873,0.0,0.008461596767594837,0.0,0.6548214802552823
36,80,10,4,4,0.8,False,1.0,2,0.0,13.370517015457153,13.370517015457153,0.6235085625082631,0.0,1.4672815389066718,0.0,0.9723048366889852,0.0,0.6721230332428451,0.0,1.4318585259632133,0.0,0.9712337071527701,0.0,0.048614470734581916,0.0,0.0010711295362150208,0.0,0.6731488791343474
26,80,10,4,1,0.6,False,1.0,2,0.0,13.612118005752563,13.612118005752563,0.5677404135331313,0.0,1.1693676838409544,0.0,0.9824094588942666,0.0,0.6847778410428257,0.0,1.3461605187968742,0.0,0.974574039039042,0.0,0.11703742750969437,0.0,0.007835419855224512,0.0,0.6875103605857807
