country_name,country_code,year,population,pop_growth,life_expectancy,gdp_growth,sanitation,electricity,water_access,co2_emissions,labor_force,is_covid,log1p_gdp_per_capita,electricity_water_interaction,basic_services_gap
Israel,ISR,2006.0,-0.20389532926952852,0.30452083986771084,80.5536585365854,0.38567514023177946,1.14690599672548,0.6260025836801568,0.7411578560498517,0.46656930080919995,0.1170870972302773,0,0.8675596704271139,0.7592687026620926,-0.9344250127171063
Qatar,QAT,2010.0,-0.2458091635348484,-0.4869130845718311,79.444,2.7443630602452274,1.3225389901525577,0.6260025836801568,0.7362496867072907,4.256239670510069,2.5618876103097548,0,1.644051047442677,0.7565793799658114,-1.0059323132085078
Ghana,GHA,2022.0,-0.0027205995893873083,0.39908420077138046,65.246,0.08275371332647911,-1.2894618014550405,0.09806672592433,0.03935137474059405,-0.4425844004733764,0.23894036683480574,0,-0.601728188857836,-0.04062112921901993,0.48242347358059345
Tanzania,TZA,2008.0,0.0699120953706734,0.8843947538621023,59.896,0.39996999608281414,-1.455111263384137,-2.5097238197688805,-2.7365378778566876,-0.503541175068827,2.6425538720512516,0,-1.3594589160361545,-2.2671989153568535,2.382604551028344
Norway,NOR,2022.0,-0.2162036097196856,-0.23464484320928422,82.509756097561,-0.011425095113959416,0.9039134660635264,0.6260025836801568,0.7411579879900229,0.3339260447984518,0.4716971893192998,0,1.8708975525606306,0.7592687749557879,-0.8337255132227671
Eritrea,ERI,2024.0,-0.2310169983237191,0.36274223146230067,68.8927,0.025647109314730184,0.04609526991270079,0.5941138405942342,0.47833024493703885,-0.49578466454823894,1.718257141934793,0,-0.007019596536828947,0.5880050889197558,-0.39626365641801814
Lebanon,LBN,2021.0,-0.21419155035497836,-0.6210180282496929,73.65,-1.7390613557857886,-0.9919207154641172,0.6260025836801568,0.31274874298922867,-0.20675653583021528,-1.531297322341615,1,-0.22339618689471624,0.5245314165914636,0.06344060449611179
Mali,MLI,2009.0,-0.13927816168617088,1.2285453710064913,55.588,0.3609105006358279,-1.4711287270807516,-2.0668246102421803,-1.337817886481218,-0.5054081832372074,0.9286720643654666,0,-1.2625772467243015,-1.9249384446316071,1.8368315896675351
Lebanon,LBN,2025.0,-0.21571310547630346,-0.6457790115762214,76.18076363636385,-2.1243192483612754,-0.9737851660976915,0.6260025836801568,0.3383738201355902,-0.355008541557053,-1.5463858310757992,0,-0.4260208365752994,0.5385721101278689,0.0492553224758087
Viet Nam,VNM,2025.0,0.5305819145823988,-0.45713433042672147,74.87418787878784,0.35721065152958364,-0.2687578860126824,0.6260025836801568,0.7232763775059727,-0.04908118487219822,1.1898713620360437,0,-0.11497048046821665,0.7494709424923036,-0.3430997588818617
Senegal,SEN,2006.0,-0.16961724468216818,0.6518818074725474,61.801,-0.1657635031393098,-1.3120744699151092,-1.1491374481028576,-1.1770962319397054,-0.46711404123820915,-1.1106875615550036,0,-1.1001151716094166,-1.354448108024076,1.3388149735802164
Botswana,BWA,2015.0,-0.24128817996850313,0.09349988346455085,63.215,-1.3766041236188098,-0.271702762927731,-0.7168678196047982,0.046166514222494584,-0.1751892098846732,0.11397295761136532,0,0.041797431270447535,-0.6794472744180835,0.40544766640139895
Haiti,HTI,2010.0,-0.18269819385757483,-0.06823886212667339,45.577,-1.5115087896729196,-0.9658741671155819,-1.5991230449819849,-1.3577992354418797,-0.490966938866706,0.4584369819097396,0,-0.9900740789007633,-1.6606554989951183,1.4337456445518273
Mexico,MEX,2021.0,0.7257898694128261,-0.3778933728753537,69.75,0.4610113615583445,0.2580548510265549,0.6260025836801568,0.6837913300217293,-0.14009339098921983,-0.11366060291943592,1,0.3712036370669087,0.7278359851483645,-0.5511412860054683
St. Vincent and the Grenadines,VCT,2013.0,-0.25743999143329754,-1.1355026208436887,70.091,-0.1435577740540555,0.09372960891095891,0.5126203860413215,0.5987052639315513,-0.43773687189905264,0.3805834914369365,0,0.13149555676539315,0.5822046264631944,-0.41267784424332216
Channel Islands,CHI,2003.0,-0.2571098454830165,-0.34693535980891743,79.4,0.025647109314730184,0.6166757737615356,0.6260025836801568,0.47833024493703885,-0.26729410184677355,-0.12772445926290998,0,1.3557225162472655,0.6152581336611527,-0.6462817719538201
Bermuda,BMU,2011.0,-0.25778229477210374,-0.7840004795693687,79.651,-1.1897067888358812,1.4569273221684564,0.6260025836801568,0.7411580258065783,-0.26195568801134683,7.137836401163614e-16,0,1.8084998375172854,0.7592687956765319,-1.0629022692093781
Solomon Islands,SLB,2018.0,-0.2528070319200093,1.291833886006263,69.806,-0.09578428055596033,-0.624773708469169,-0.5857696535848951,-0.8936571871891626,-0.4702766906446003,2.3173774221667855,0,-0.5881159729108956,-0.9150091519041873,0.74062822674267
Tuvalu,TUV,2020.0,-0.2581934565727409,-1.867765032005651,66.357,-1.2794291403913685,-0.46036152761142235,0.6047434216228754,0.6726272198042225,-0.5193130246779321,7.137836401163614e-16,1,-0.09184936715269504,0.702911397350561,-0.24147262167555944
Costa Rica,CRI,2011.0,-0.22273555794612773,-0.06280269987839338,79.624,0.18362362036909868,-1.10497656013319,0.5976570342704481,0.6385926659802575,-0.3407502869399451,-0.04384360178576136,0,0.3038358060214187,0.6781429515291975,0.037537071600022925
Netherlands,NLD,2002.0,-0.13377850448895062,-0.3959482618737915,78.2926829268293,-0.5172743856777547,1.6177092533998991,0.6260025836801568,0.7411580258065783,0.6846247939976726,0.7018421527685792,0,1.0377458713406413,0.7592687956765319,-1.1295325704786165
"Korea, Dem. People's Rep.",PRK,2010.0,-0.06564216995068883,-0.5208544121959094,70.246,0.025647109314730184,-0.4143530025979715,-1.8790353454028597,0.5683000242191224,-0.2238697609349023,2.1038077179794583,0,-0.007019596536828947,-1.5111759307830186,0.8229052875099725
"Egypt, Arab Rep.",EGY,2002.0,0.3294681697140277,0.512840473901664,67.846,-0.15574359510637928,-0.9440524094427132,0.5374227417748169,0.6746926952729605,-0.3160055929168677,-1.794793716548275,0,-1.0408002594502535,0.6444578762724028,-0.012932054081004743
Netherlands,NLD,2008.0,-0.13149146611897608,-0.5503653096360837,80.2512195121951,-0.20183451355878235,1.618306900547311,0.6260025836801568,0.7411580258065783,0.6506309830072606,0.6232854694786019,0,1.4711511759740943,0.7592687956765319,-1.1297802438905458
Netherlands,NLD,2012.0,-0.1291064825231213,-0.5622954145729109,81.1048780487805,-0.7235735347796143,1.6187725792145549,0.6260025836801568,0.7411580258065783,0.5757880385005752,0.5809934443314415,0,1.380143847878128,0.7592687956765319,-1.1299732277019443
Australia,AUS,2006.0,-0.10061329506667407,0.04507763942215776,81.0414634146342,-0.09155706261743891,1.501264013758645,0.6260025836801568,0.729566256583929,1.5207267877051467,0.3810857720206315,0,1.1769445694071854,0.7529173424391291,-1.0782589325809873
"Iran, Islamic Rep.",IRN,2021.0,0.4236463088818307,-0.27642190963429936,73.752,0.13772248540366855,0.20243258100590214,0.6260025836801568,0.5972722211879061,0.4286979941848355,-2.010472999187123,1,-0.14106633319743614,0.6804297554913703,-0.5055715759544204
Panama,PAN,2020.0,-0.22517607081880384,0.05993573167372443,76.33,-3.56322033385328,0.29000867376104705,0.4594724808981175,0.4187307883083232,-0.27741727411447925,0.5367927529662377,1,0.5322944930474195,0.4418153169151229,-0.4245726831448658
Guinea,GIN,2005.0,-0.18699568037209063,0.44877638729531133,54.422,-0.05339697677027253,-1.3776606272505085,-2.201465969938297,-1.9515043143615116,-0.49904845176895746,0.1408951968974442,0,-1.5992413098894673,-2.0701160554120057,2.01508609799387
Kosovo,XKX,2025.0,-0.2453898788204238,-3.174175751242934,76.94061818181822,0.08739880394160528,0.23046161818393737,0.5941138405942342,0.47833024493703885,-0.26729410184677355,7.137836401163614e-16,0,0.10132776011781534,0.5880050889197558,-0.4726676729336473
Germany,DEU,2011.0,0.3605812628338817,-1.941367876526494,80.4365853658537,0.07484997939623145,1.5809878394136387,0.6260025836801568,0.7411580258065783,0.5304427884030248,-0.12089344332465068,0,1.3433077514166163,0.7592687956765319,-1.114314698307303
Pakistan,PAK,2018.0,1.4911637298327685,0.21516267050617194,66.481,0.47841323661875457,-0.30502820329592417,0.39215180105005937,0.1666175853645963,-0.42398770615497633,-1.0108341815163382,0,-0.8248248608974791,0.25587896272957533,-0.08373154057218728
Morocco,MAR,2021.0,0.02661509412093986,-0.16734406115828268,73.385,0.8161082049821466,-1.5983696908262524,0.6260025836801568,0.10673348831906784,-0.30771963073106123,-1.582831310228774,1,-0.2655004605698735,0.4116499201523814,0.36838294184019504
Zambia,ZMB,2008.0,-0.15788979753807114,1.4200683048585045,54.835,0.7519012839087794,-1.3779643458010453,-2.006590317746549,-1.8189325595560033,-0.4978999990183839,-0.17162378227789646,0,-0.9085363599164683,-1.9581268252916566,1.8978305475748842
Sierra Leone,SLE,2004.0,-0.21698539841362594,1.3047060929369652,47.485,0.5335668241947292,-1.71455506812595,-2.32193455492956,-2.4647881354707026,-0.5070847825856016,0.507660479111898,0,-1.6646836745827591,-2.1750540254373494,2.3395289507504087
Latvia,LVA,2024.0,-0.24388732479024947,-1.3734671488120758,76.3301,-0.5664851884564667,1.439217796547016,0.5941138405942342,0.6701001677633736,-0.12927803582122757,-0.04454679460293485,0,0.8919568064841465,0.6921354865072764,-1.0235068626306503
France,FRA,2016.0,0.25611499722739584,-0.6281468965771495,82.5731707317073,-0.4137178062267053,1.3180882622155896,0.6260025836801568,0.7411580258065783,0.017154564021622253,-0.5683249872806023,0,1.1832463340495867,0.7592687956765319,-1.005365403457462
Cote d'Ivoire,CIV,2015.0,-0.06364484284309745,0.999868550120702,58.281,0.6542958219044682,-1.1287836030878515,-0.6991518512237301,-0.7479116387741195,-0.47160314836585027,0.5909385998886113,0,-0.7325704166089442,-0.937861725833708,0.9597812956846907
Sri Lanka,LKA,2014.0,-0.09809212867544945,-0.21305570694498532,75.757,0.5165615037376425,-0.24949100208911695,0.36734944531656405,0.020756474645789804,-0.4272995411867422,-0.950058230889183,0,-0.23501686649816586,0.16179061675128203,-0.05823460656156774
"Yemen, Rep.",YEM,2000.0,-0.10698744393628487,1.116684586118066,62.761,0.48350688970460093,-0.6560833142409994,-1.1739398038363527,-2.7267063195528483,-0.4335237330938248,-1.593077834136162,0,-1.5593735103252067,-1.7870402095503188,1.4808408722559625
Haiti,HTI,2002.0,-0.19191570689648482,0.31107503713994467,59.041,-0.3813837937826966,-1.1985815473937562,-1.7443939857067428,-1.7558325386730949,-0.49507149808281814,0.2149313549341604,0,-1.3185736531585457,-1.815748492109659,1.695562522526871
Madagascar,MDG,2003.0,-0.11895431531337376,1.025672397185543,59.693,1.090938244636672,-1.7670296283473401,-2.1979227762620837,-2.818215229183649,-0.5101446478664308,2.5571661728230173,0,-1.7720992125877977,-2.164823008888275,2.400525415338112
